Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
2;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$59.06;5/14/21, 9:26 AM;($1.47);($1.47);0.0;
3;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$59.06;5/14/21, 9:26 AM;;($1.17);1.0;
4;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$59.02;5/14/21, 9:27 AM;($0.04);($1.51);0.0;
5;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$59.02;5/14/21, 9:27 AM;;($1.80);-1.0;
6;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$62.21;5/17/21, 8:39 AM;($3.19);($4.70);0.0;
7;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$62.21;5/17/21, 8:39 AM;;($4.54);1.0;
8;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$62.17;5/17/21, 8:41 AM;($0.04);($4.73);0.0;
9;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$62.17;5/17/21, 8:41 AM;;($4.43);-1.0;
10;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$62.27;5/17/21, 8:50 AM;($0.10);($4.83);0.0;
11;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$62.27;5/17/21, 8:50 AM;;($5.01);1.0;
12;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$61.86;5/17/21, 8:50 AM;($0.41);($5.24);0.0;
13;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$61.86;5/17/21, 8:50 AM;;($5.02);-1.0;
14;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$61.79;5/17/21, 9:18 AM;$0.07;($5.17);0.0;
15;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$61.79;5/17/21, 9:18 AM;;($5.46);1.0;
16;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$61.50;5/17/21, 9:19 AM;($0.29);($5.46);0.0;
17;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$61.50;5/17/21, 9:19 AM;;($5.61);-1.0;
18;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$62.92;5/17/21, 9:53 AM;($1.42);($6.88);0.0;
19;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$62.92;5/17/21, 9:53 AM;;($7.00);1.0;
20;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$62.70;5/17/21, 9:55 AM;($0.22);($7.10);0.0;
21;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$62.70;5/17/21, 9:55 AM;;($6.80);-1.0;
22;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$64.65;5/18/21, 9:13 AM;($1.95);($9.05);0.0;
23;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$64.65;5/18/21, 9:13 AM;;($9.28);1.0;
24;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$64.42;5/18/21, 9:13 AM;($0.23);($9.28);0.0;
