Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
2;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$62.10;5/18/21, 8:39 AM;$0.93;$0.93;0.0;
3;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$62.10;5/18/21, 8:39 AM;;$1.17;1.0;
4;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$62.33;5/18/21, 8:39 AM;$0.23;$1.16;0.0;
5;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$62.33;5/18/21, 8:39 AM;;$1.03;-1.0;
6;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$62.40;5/18/21, 8:41 AM;($0.07);$1.09;0.0;
7;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$62.40;5/18/21, 8:41 AM;;$1.27;1.0;
8;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$62.91;5/18/21, 8:43 AM;$0.51;$1.59;0.0;
9;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$62.91;5/18/21, 8:43 AM;;$1.50;-1.0;
10;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$62.73;5/18/21, 8:45 AM;$0.18;$1.77;0.0;
11;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$62.73;5/18/21, 8:45 AM;;$1.65;1.0;
12;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$62.37;5/18/21, 8:45 AM;($0.36);$1.41;0.0;
13;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$62.37;5/18/21, 8:45 AM;;$1.63;-1.0;
14;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$64.87;5/18/21, 9:14 AM;($2.50);($1.09);0.0;
15;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$64.87;5/18/21, 9:14 AM;;($1.26);1.0;
16;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$65.01;5/18/21, 9:18 AM;$0.13;($0.95);0.0;
17;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$65.01;5/18/21, 9:18 AM;;($0.86);-1.0;
18;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$65.31;5/18/21, 9:22 AM;($0.31);($1.26);0.0;
