Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;PAT_Price_Action_Trading_Strategy(BUY PAT);Buy to Open;1.0;$62.90;5/18/21, 3:05 AM;;$0.24;1.0;
2;PAT_Price_Action_Trading_Strategy(SELL PAT);Sell to Close;-1.0;$63.03;5/18/21, 6:26 AM;$0.13;$0.13;0.0;
3;PAT_Price_Action_Trading_Strategy(SELL PAT);Sell to Open;-1.0;$63.03;5/18/21, 6:26 AM;;$0.37;-1.0;
4;PAT_Price_Action_Trading_Strategy(BUY PAT);Buy to Close;1.0;$62.44;5/18/21, 7:42 AM;$0.59;$0.72;0.0;
5;PAT_Price_Action_Trading_Strategy(BUY PAT);Buy to Open;1.0;$62.44;5/18/21, 7:42 AM;;$0.54;1.0;
6;PAT_Price_Action_Trading_Strategy(SELL PAT);Sell to Close;-1.0;$62.26;5/18/21, 7:58 AM;($0.18);$0.54;0.0;
7;PAT_Price_Action_Trading_Strategy(SELL PAT);Sell to Open;-1.0;$62.26;5/18/21, 7:58 AM;;$0.50;-1.0;
8;PAT_Price_Action_Trading_Strategy(BUY PAT);Buy to Close;1.0;$62.34;5/18/21, 8:29 AM;($0.08);$0.46;0.0;
9;PAT_Price_Action_Trading_Strategy(BUY PAT);Buy to Open;1.0;$62.34;5/18/21, 8:29 AM;;$0.38;1.0;
10;PAT_Price_Action_Trading_Strategy(SELL PAT);Sell to Close;-1.0;$62.02;5/18/21, 8:30 AM;($0.32);$0.14;0.0;
11;PAT_Price_Action_Trading_Strategy(SELL PAT);Sell to Open;-1.0;$62.02;5/18/21, 8:30 AM;;$0.04;-1.0;
12;PAT_Price_Action_Trading_Strategy(BUY PAT);Buy to Close;1.0;$61.82;5/18/21, 8:32 AM;$0.20;$0.34;0.0;
13;PAT_Price_Action_Trading_Strategy(BUY PAT);Buy to Open;1.0;$61.82;5/18/21, 8:32 AM;;$0.28;1.0;
14;PAT_Price_Action_Trading_Strategy(SELL PAT);Sell to Close;-1.0;$61.52;5/18/21, 8:32 AM;($0.30);$0.04;0.0;
15;PAT_Price_Action_Trading_Strategy(SELL PAT);Sell to Open;-1.0;$61.52;5/18/21, 8:32 AM;;$0.23;-1.0;
16;PAT_Price_Action_Trading_Strategy(BUY PAT);Buy to Close;1.0;$61.39;5/18/21, 8:34 AM;$0.14;$0.17;0.0;
17;PAT_Price_Action_Trading_Strategy(BUY PAT);Buy to Open;1.0;$61.39;5/18/21, 8:34 AM;;$0.41;1.0;
18;PAT_Price_Action_Trading_Strategy(SELL PAT);Sell to Close;-1.0;$61.92;5/18/21, 8:36 AM;$0.54;$0.71;0.0;
19;PAT_Price_Action_Trading_Strategy(SELL PAT);Sell to Open;-1.0;$61.92;5/18/21, 8:36 AM;;$0.95;-1.0;
20;PAT_Price_Action_Trading_Strategy(BUY PAT);Buy to Close;1.0;$61.62;5/18/21, 8:38 AM;$0.30;$1.01;0.0;
21;PAT_Price_Action_Trading_Strategy(BUY PAT);Buy to Open;1.0;$61.62;5/18/21, 8:38 AM;;$1.25;1.0;
22;PAT_Price_Action_Trading_Strategy(SELL PAT);Sell to Close;-1.0;$62.33;5/18/21, 8:39 AM;$0.71;$1.72;0.0;
23;PAT_Price_Action_Trading_Strategy(SELL PAT);Sell to Open;-1.0;$62.33;5/18/21, 8:39 AM;;$1.59;-1.0;
24;PAT_Price_Action_Trading_Strategy(BUY PAT);Buy to Close;1.0;$62.40;5/18/21, 8:41 AM;($0.07);$1.65;0.0;
25;PAT_Price_Action_Trading_Strategy(BUY PAT);Buy to Open;1.0;$62.40;5/18/21, 8:41 AM;;$1.83;1.0;
26;PAT_Price_Action_Trading_Strategy(SELL PAT);Sell to Close;-1.0;$62.91;5/18/21, 8:43 AM;$0.51;$2.15;0.0;
27;PAT_Price_Action_Trading_Strategy(SELL PAT);Sell to Open;-1.0;$62.91;5/18/21, 8:43 AM;;$2.06;-1.0;
28;PAT_Price_Action_Trading_Strategy(BUY PAT);Buy to Close;1.0;$62.49;5/18/21, 8:45 AM;$0.42;$2.57;0.0;
