Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;PAT_Price_Action_Trading_Strategy(BUY PAT);Buy to Open;1.0;$93.33;5/14/21, 8:36 AM;;($0.11);1.0;
2;PAT_Price_Action_Trading_Strategy(SELL PAT);Sell to Close;-1.0;$93.11;5/14/21, 8:37 AM;($0.22);($0.22);0.0;
3;PAT_Price_Action_Trading_Strategy(BUY PAT);Buy to Open;1.0;$93.01;5/14/21, 8:38 AM;;($0.11);1.0;
4;PAT_Price_Action_Trading_Strategy(SELL PAT);Sell to Close;-1.0;$92.88;5/14/21, 8:38 AM;($0.14);($0.36);0.0;
5;PAT_Price_Action_Trading_Strategy(BUY PAT);Buy to Open;1.0;$93.02;5/14/21, 8:38 AM;;($0.20);1.0;
6;PAT_Price_Action_Trading_Strategy(SELL PAT);Sell to Close;-1.0;$93.14;5/14/21, 8:40 AM;$0.12;($0.23);0.0;
7;PAT_Price_Action_Trading_Strategy(BUY PAT);Buy to Open;1.0;$92.72;5/14/21, 8:42 AM;;($0.34);1.0;
8;PAT_Price_Action_Trading_Strategy(SELL PAT);Sell to Close;-1.0;$92.61;5/14/21, 8:42 AM;($0.11);($0.34);0.0;
9;PAT_Price_Action_Trading_Strategy(BUY PAT);Buy to Open;1.0;$92.77;5/14/21, 8:43 AM;;($0.45);1.0;
10;PAT_Price_Action_Trading_Strategy(SELL PAT);Sell to Close;-1.0;$92.66;5/14/21, 8:43 AM;($0.11);($0.45);0.0;
11;PAT_Price_Action_Trading_Strategy(BUY PAT);Buy to Open;1.0;$92.68;5/14/21, 8:44 AM;;($0.43);1.0;
12;PAT_Price_Action_Trading_Strategy(SELL PAT);Sell to Close;-1.0;$92.73;5/14/21, 8:46 AM;$0.05;($0.41);0.0;
13;PAT_Price_Action_Trading_Strategy(BUY PAT);Buy to Open;1.0;$92.78;5/14/21, 8:48 AM;;($0.48);1.0;
14;PAT_Price_Action_Trading_Strategy(SELL PAT);Sell to Close;-1.0;$92.70;5/14/21, 8:49 AM;($0.08);($0.48);0.0;
15;PAT_Price_Action_Trading_Strategy(BUY PAT);Buy to Open;1.0;$92.75;5/14/21, 8:51 AM;;($0.38);1.0;
16;PAT_Price_Action_Trading_Strategy(SELL PAT);Sell to Close;-1.0;$93.13;5/14/21, 8:55 AM;$0.38;($0.10);0.0;
17;PAT_Price_Action_Trading_Strategy(BUY PAT);Buy to Open;1.0;$93.33;5/14/21, 8:57 AM;;$0.00;1.0;
18;PAT_Price_Action_Trading_Strategy(SELL PAT);Sell to Close;-1.0;$93.54;5/14/21, 9:00 AM;$0.21;$0.11;0.0;
19;PAT_Price_Action_Trading_Strategy(BUY PAT);Buy to Open;1.0;$93.77;5/14/21, 9:01 AM;;($0.03);1.0;
20;PAT_Price_Action_Trading_Strategy(SELL PAT);Sell to Close;-1.0;$93.63;5/14/21, 9:01 AM;($0.14);($0.03);0.0;
21;PAT_Price_Action_Trading_Strategy(BUY PAT);Buy to Open;1.0;$93.10;5/14/21, 9:07 AM;;($0.15);1.0;
22;PAT_Price_Action_Trading_Strategy(SELL PAT);Sell to Close;-1.0;$92.98;5/14/21, 9:07 AM;($0.12);($0.15);0.0;
