ticker,stratName,aggregation,param1,param2,datafile,day,profit,trades
FNGU,RENKO_CAV,20,10,None,stream_FNGU__2021-06-14.csv,2,0,0
FNGU,RENKO_CAV,20,10,None,stream_FNGU__2021-06-15.csv,2,0,0
FNGU,RENKO_CAV,20,10,None,stream_FNGU__2021-06-16.csv,2,0.36999999999999744,1
FNGU,RENKO_CAV,20,10,None,stream_FNGU__2021-06-17.csv,2,0.0799999999999983,1
GUSH,RENKO_CAV,20,10,None,stream_GUSH__2021-06-14.csv,2,-4.219999999999999,3
GUSH,RENKO_CAV,20,10,None,stream_GUSH__2021-06-15.csv,2,-0.7800000000000153,4
GUSH,RENKO_CAV,20,10,None,stream_GUSH__2021-06-16.csv,2,-0.3400000000000034,2
GUSH,RENKO_CAV,20,10,None,stream_GUSH__2021-06-17.csv,2,0.18999999999999773,2
LABU,RENKO_CAV,20,10,None,stream_LABU__2021-06-14.csv,2,-2.410000000000025,4
LABU,RENKO_CAV,20,10,None,stream_LABU__2021-06-15.csv,2,-4.009999999999991,5
LABU,RENKO_CAV,20,10,None,stream_LABU__2021-06-16.csv,2,-0.28999999999999204,6
LABU,RENKO_CAV,20,10,None,stream_LABU__2021-06-17.csv,2,1.9899999999999807,6
MARA,RENKO_CAV,20,10,None,stream_MARA__2021-06-14.csv,2,-1.1000000000000014,2
MARA,RENKO_CAV,20,10,None,stream_MARA__2021-06-15.csv,2,0.9499999999999993,1
MARA,RENKO_CAV,20,10,None,stream_MARA__2021-06-16.csv,2,-0.0799999999999983,2
MARA,RENKO_CAV,20,10,None,stream_MARA__2021-06-17.csv,2,-0.41000000000000014,1
SOXL,RENKO_CAV,20,10,None,stream_SOXL__2021-06-14.csv,2,0,0
SOXL,RENKO_CAV,20,10,None,stream_SOXL__2021-06-15.csv,2,0,0
SOXL,RENKO_CAV,20,10,None,stream_SOXL__2021-06-16.csv,2,-0.1700000000000017,2
SOXL,RENKO_CAV,20,10,None,stream_SOXL__2021-06-17.csv,2,-1.4200000000000017,1
SPXL,RENKO_CAV,20,10,None,stream_SPXL__2021-06-14.csv,2,0,0
SPXL,RENKO_CAV,20,10,None,stream_SPXL__2021-06-15.csv,2,0,0
SPXL,RENKO_CAV,20,10,None,stream_SPXL__2021-06-16.csv,2,-0.21000000000000796,3
SPXL,RENKO_CAV,20,10,None,stream_SPXL__2021-06-17.csv,2,-2.3799999999999955,3
TQQQ,RENKO_CAV,20,10,None,stream_TQQQ__2021-06-14.csv,2,1.480000000000004,1
TQQQ,RENKO_CAV,20,10,None,stream_TQQQ__2021-06-15.csv,2,0,0
TQQQ,RENKO_CAV,20,10,None,stream_TQQQ__2021-06-16.csv,2,1.3200000000000074,4
TQQQ,RENKO_CAV,20,10,None,stream_TQQQ__2021-06-17.csv,2,4.8500000000000085,2
UCO,RENKO_CAV,20,10,None,stream_UCO__2021-06-14.csv,2,0,0
UCO,RENKO_CAV,20,10,None,stream_UCO__2021-06-15.csv,2,0,0
UCO,RENKO_CAV,20,10,None,stream_UCO__2021-06-16.csv,2,-0.8499999999999943,1
UCO,RENKO_CAV,20,10,None,stream_UCO__2021-06-17.csv,2,-0.7099999999999937,2
UVXY,RENKO_CAV,20,10,None,stream_UVXY__2021-06-14.csv,2,-0.3100000000000023,1
UVXY,RENKO_CAV,20,10,None,stream_UVXY__2021-06-15.csv,2,-0.21000000000000085,1
UVXY,RENKO_CAV,20,10,None,stream_UVXY__2021-06-16.csv,2,-1.4200000000000017,3
UVXY,RENKO_CAV,20,10,None,stream_UVXY__2021-06-17.csv,2,-0.4399999999999977,2
VDE,RENKO_CAV,20,10,None,stream_VDE__2021-06-14.csv,2,0,0
VDE,RENKO_CAV,20,10,None,stream_VDE__2021-06-15.csv,2,0.0899999999999892,1
VDE,RENKO_CAV,20,10,None,stream_VDE__2021-06-16.csv,2,-0.14000000000000057,2
VDE,RENKO_CAV,20,10,None,stream_VDE__2021-06-17.csv,2,-0.20999999999999375,1
FNGU,RENKO_CAV,25,10,None,stream_FNGU__2021-06-14.csv,2,0,0
FNGU,RENKO_CAV,25,10,None,stream_FNGU__2021-06-15.csv,2,0,0
FNGU,RENKO_CAV,25,10,None,stream_FNGU__2021-06-16.csv,2,0,0
FNGU,RENKO_CAV,25,10,None,stream_FNGU__2021-06-17.csv,2,0.030000000000001137,1
GUSH,RENKO_CAV,25,10,None,stream_GUSH__2021-06-14.csv,2,-6.200000000000003,2
GUSH,RENKO_CAV,25,10,None,stream_GUSH__2021-06-15.csv,2,0.19000000000002615,3
GUSH,RENKO_CAV,25,10,None,stream_GUSH__2021-06-16.csv,2,-0.10999999999999943,1
GUSH,RENKO_CAV,25,10,None,stream_GUSH__2021-06-17.csv,2,-2.730000000000004,4
LABU,RENKO_CAV,25,10,None,stream_LABU__2021-06-14.csv,2,-1.8300000000000267,3
LABU,RENKO_CAV,25,10,None,stream_LABU__2021-06-15.csv,2,-0.5999999999999943,2
LABU,RENKO_CAV,25,10,None,stream_LABU__2021-06-16.csv,2,-0.4899999999999949,6
LABU,RENKO_CAV,25,10,None,stream_LABU__2021-06-17.csv,2,2.950000000000003,4
MARA,RENKO_CAV,25,10,None,stream_MARA__2021-06-14.csv,2,-0.2700000000000031,1
MARA,RENKO_CAV,25,10,None,stream_MARA__2021-06-15.csv,2,0.879999999999999,1
MARA,RENKO_CAV,25,10,None,stream_MARA__2021-06-16.csv,2,0.3200000000000003,1
MARA,RENKO_CAV,25,10,None,stream_MARA__2021-06-17.csv,2,0,0
SOXL,RENKO_CAV,25,10,None,stream_SOXL__2021-06-14.csv,2,0,0
SOXL,RENKO_CAV,25,10,None,stream_SOXL__2021-06-15.csv,2,0,0
SOXL,RENKO_CAV,25,10,None,stream_SOXL__2021-06-16.csv,2,0.38000000000000256,1
SOXL,RENKO_CAV,25,10,None,stream_SOXL__2021-06-17.csv,2,-1.269999999999996,1
SPXL,RENKO_CAV,25,10,None,stream_SPXL__2021-06-14.csv,2,0,0
SPXL,RENKO_CAV,25,10,None,stream_SPXL__2021-06-15.csv,2,0,0
SPXL,RENKO_CAV,25,10,None,stream_SPXL__2021-06-16.csv,2,0.20000000000000284,2
SPXL,RENKO_CAV,25,10,None,stream_SPXL__2021-06-17.csv,2,-0.6700000000000159,2
TQQQ,RENKO_CAV,25,10,None,stream_TQQQ__2021-06-14.csv,2,1.240000000000009,1
TQQQ,RENKO_CAV,25,10,None,stream_TQQQ__2021-06-15.csv,2,0,0
TQQQ,RENKO_CAV,25,10,None,stream_TQQQ__2021-06-16.csv,2,0.710000000000008,3
TQQQ,RENKO_CAV,25,10,None,stream_TQQQ__2021-06-17.csv,2,1.5499999999999972,2
UCO,RENKO_CAV,25,10,None,stream_UCO__2021-06-14.csv,2,0,0
UCO,RENKO_CAV,25,10,None,stream_UCO__2021-06-15.csv,2,0,0
UCO,RENKO_CAV,25,10,None,stream_UCO__2021-06-16.csv,2,0,0
UCO,RENKO_CAV,25,10,None,stream_UCO__2021-06-17.csv,2,0,0
UVXY,RENKO_CAV,25,10,None,stream_UVXY__2021-06-14.csv,2,-0.75,1
UVXY,RENKO_CAV,25,10,None,stream_UVXY__2021-06-15.csv,2,-0.41000000000000014,1
UVXY,RENKO_CAV,25,10,None,stream_UVXY__2021-06-16.csv,2,-1.0999999999999979,1
UVXY,RENKO_CAV,25,10,None,stream_UVXY__2021-06-17.csv,2,-0.030000000000001137,1
VDE,RENKO_CAV,25,10,None,stream_VDE__2021-06-14.csv,2,0,0
VDE,RENKO_CAV,25,10,None,stream_VDE__2021-06-15.csv,2,0.0899999999999892,1
VDE,RENKO_CAV,25,10,None,stream_VDE__2021-06-16.csv,2,-0.6200000000000045,2
VDE,RENKO_CAV,25,10,None,stream_VDE__2021-06-17.csv,2,0,0
FNGU,RENKO_CAV,15,10,None,stream_FNGU__2021-06-14.csv,2,0.0400000000000027,1
