ticker,stratName,aggregation,param1,param2,datafile,day,profit,trades,ProfitPerTrade
FNGU,CPAT_SMAG_LNB,25,35,None,TOTAL,TOTAL,0.030000000000001137,2,0.010000000000001136
FNGU,RENKO_CAV,25,10,None,TOTAL,TOTAL,0.030000000000001137,1,0.020000000000001135
FNGU,RENKO_CON_SA,25,10,4,TOTAL,TOTAL,0.030000000000001137,1,0.020000000000001135
FNGU,RENKO_CON_SA,25,10,5,TOTAL,TOTAL,0.030000000000001137,1,0.020000000000001135
FNGU,RENKO_CON_VS,25,10,1,TOTAL,TOTAL,0.030000000000001137,1,0.020000000000001135
FNGU,RENKO_CON_VS,25,10,2,TOTAL,TOTAL,0.030000000000001137,1,0.020000000000001135
FNGU,RENKO_CON_VS,25,10,3,TOTAL,TOTAL,0.030000000000001137,1,0.020000000000001135
FNGU,RENKO_SA,10,4,None,TOTAL,TOTAL,0.580000000000009,52,0.060000000000008935
FNGU,BBR_V32W,30,None,None,TOTAL,TOTAL,0.10000000000000142,1,0.09000000000000143
FNGU,RENKO_VBS,20,1,2,TOTAL,TOTAL,0.2599999999999909,16,0.0999999999999909
FNGU,RENKO_CON_VS,3,9,3,TOTAL,TOTAL,1.6800000000000281,157,0.11000000000002808
FNGU,RENKO_CON_VS,20,9,2,TOTAL,TOTAL,0.16999999999999105,4,0.12999999999999104
FNGU,RENKO_CON_VS,20,10,3,TOTAL,TOTAL,0.1799999999999926,4,0.1399999999999926
FNGU,RENKO_SA,10,5,None,TOTAL,TOTAL,0.6899999999999977,52,0.1699999999999977
FNGU,PAT_SMAG_LNB,10,35,None,TOTAL,TOTAL,0.8100000000000023,63,0.18000000000000227
FNGU,RENKO_SA,15,4,None,TOTAL,TOTAL,0.4600000000000044,27,0.1900000000000044
FNGU,RENKO_BAH,25,None,None,TOTAL,TOTAL,0.22999999999999687,1,0.21999999999999686
FNGU,CPAT_SMAG_LNB,20,50,None,TOTAL,TOTAL,0.23000000000000398,1,0.22000000000000397
FNGU,PAT_SMAG_LNB,20,50,None,TOTAL,TOTAL,0.23000000000000398,1,0.22000000000000397
FNGU,BBMR_MAS,10,35,None,TOTAL,TOTAL,0.4600000000000115,24,0.22000000000001152
FNGU,RENKO_CON_SA,25,10,2,TOTAL,TOTAL,0.25,1,0.24
FNGU,RENKO_CON_SA,25,10,3,TOTAL,TOTAL,0.25,1,0.24
FNGU,RENKO_CON_VS,10,9,2,TOTAL,TOTAL,0.5300000000000011,25,0.28000000000000114
FNGU,RENKO_CON_VS,15,10,3,TOTAL,TOTAL,0.38000000000000256,10,0.2800000000000026
FNGU,BBMR_MAS,15,25,None,TOTAL,TOTAL,0.4200000000000017,13,0.2900000000000017
