ticker,stratName,aggregation,param1,param2,datafile,day,profit,trades,ProfitPerTrade
MARA,RENKO_CON_SA,20,9,3,TOTAL,TOTAL,0.240000000000002,22,0.02000000000000199
MARA,PAT_SMAG_LNB,20,25,None,TOTAL,TOTAL,0.7000000000000064,64,0.06000000000000638
MARA,RENKO_CON_SA,25,10,5,TOTAL,TOTAL,0.23000000000000753,10,0.13000000000000753
MARA,RENKO_CON_SA,20,9,5,TOTAL,TOTAL,0.35999999999999943,22,0.13999999999999943
MARA,RENKO_CAV,25,9,None,TOTAL,TOTAL,0.2500000000000071,10,0.1500000000000071
MARA,RENKO_CON_SA,25,10,2,TOTAL,TOTAL,0.28000000000000114,10,0.18000000000000113
MARA,PAT_SMAG_LNB,20,50,None,TOTAL,TOTAL,0.6900000000000013,50,0.19000000000000128
MARA,BBMR_MAS,15,25,None,TOTAL,TOTAL,0.8099999999999952,50,0.30999999999999517
MARA,PAT_SMAG_LNB,30,35,None,TOTAL,TOTAL,0.4500000000000064,13,0.3200000000000064
MARA,PAT_SMAG_LNB,30,40,None,TOTAL,TOTAL,0.4300000000000068,10,0.33000000000000684
MARA,RENKO_BAH,20,None,None,TOTAL,TOTAL,0.5399999999999956,17,0.36999999999999555
MARA,PAT_SMAG_LNB,30,45,None,TOTAL,TOTAL,0.45000000000000284,8,0.3700000000000028
MARA,RENKO_CON_VS,25,9,2,TOTAL,TOTAL,0.480000000000004,9,0.390000000000004
MARA,PAT_SMAG_LNB,30,50,None,TOTAL,TOTAL,0.4800000000000004,4,0.44000000000000045
MARA,CPAT_SMAG_LNB,30,50,None,TOTAL,TOTAL,0.5900000000000034,7,0.5200000000000033
MARA,PAT_SMAG_LNB,35,25,None,TOTAL,TOTAL,0.669999999999991,13,0.539999999999991
MARA,CPAT_SMAG_LNB,30,45,None,TOTAL,TOTAL,0.6500000000000021,11,0.5400000000000021
MARA,RENKO_CON_SA,25,9,2,TOTAL,TOTAL,0.6899999999999977,12,0.5699999999999977
MARA,BBMR_MAS,15,30,None,TOTAL,TOTAL,1.1899999999999942,50,0.6899999999999942
MARA,CPAT_SMAG_LNB,30,40,None,TOTAL,TOTAL,0.8400000000000034,13,0.7100000000000034
MARA,RENKO_CON_SA,25,10,4,TOTAL,TOTAL,0.8400000000000034,10,0.7400000000000034
MARA,RENKO_CON_VS,25,10,2,TOTAL,TOTAL,0.8200000000000003,7,0.7500000000000002
MARA,RENKO_CON_SA,20,9,4,TOTAL,TOTAL,1.0999999999999908,22,0.8799999999999908
MARA,RENKO_CON_VS,25,10,3,TOTAL,TOTAL,0.9599999999999973,6,0.8999999999999972
MARA,RENKO_CON_SA,25,10,3,TOTAL,TOTAL,1.0199999999999996,10,0.9199999999999996
MARA,RENKO_CAV,25,10,None,TOTAL,TOTAL,1.0899999999999999,7,1.0199999999999998
MARA,CPAT_SMAG_LNB,35,25,None,TOTAL,TOTAL,1.1700000000000053,15,1.0200000000000053
MARA,RENKO_CON_SA,25,9,3,TOTAL,TOTAL,1.1699999999999982,12,1.049999999999998
MARA,CPAT_SMAG_LNB,30,35,None,TOTAL,TOTAL,1.2600000000000051,17,1.0900000000000052
MARA,RENKO_CON_VS,20,9,3,TOTAL,TOTAL,1.360000000000003,13,1.230000000000003
MARA,RENKO_CON_VS,20,10,3,TOTAL,TOTAL,1.360000000000003,13,1.230000000000003
MARA,RENKO_CON_VS,25,9,3,TOTAL,TOTAL,1.4199999999999982,7,1.349999999999998
MARA,BBR_V32W,15,None,None,TOTAL,TOTAL,2.289999999999999,40,1.8899999999999992
MARA,CPAT_SMAG_LNB,30,25,None,TOTAL,TOTAL,2.2100000000000044,29,1.9200000000000044
MARA,PAT_SMAG_LNB,30,25,None,TOTAL,TOTAL,3.1300000000000026,20,2.9300000000000024
MARA,BBR_V32W,20,None,None,TOTAL,TOTAL,5.539999999999992,23,5.309999999999992
