ticker,stratName,aggregation,param1,param2,datafile,day,profit,trades,ProfitPerTrade
UCO,RENKO_CON_SA,15,9,5,TOTAL,TOTAL,0.20999999999997954,20,0.009999999999979525
UCO,RENKO_CON_VS,20,9,3,TOTAL,TOTAL,0.22000000000001307,11,0.11000000000001307
UCO,RENKO_VBS,25,1,2,TOTAL,TOTAL,0.28000000000000114,16,0.12000000000000113
UCO,PAT_SMAG_LNB,25,25,None,TOTAL,TOTAL,0.269999999999996,13,0.13999999999999602
UCO,RENKO_SA,25,2,None,TOTAL,TOTAL,0.31999999999996476,17,0.14999999999996474
UCO,RENKO_SA,25,5,None,TOTAL,TOTAL,0.31999999999997897,17,0.14999999999997896
UCO,PAT,30,None,None,TOTAL,TOTAL,0.549999999999983,40,0.14999999999998292
UCO,RENKO_SA,20,3,None,TOTAL,TOTAL,0.4099999999999824,23,0.17999999999998237
UCO,RENKO_CON_VS,15,10,3,TOTAL,TOTAL,0.3800000000000239,14,0.24000000000002386
UCO,BBMR_MAS,20,30,None,TOTAL,TOTAL,0.39000000000000057,13,0.26000000000000056
UCO,RENKO_BAH,25,None,None,TOTAL,TOTAL,0.37000000000001876,4,0.3300000000000188
UCO,BBMR_MAS,20,35,None,TOTAL,TOTAL,0.4999999999999858,11,0.3899999999999858
UCO,BBMR_MAS,25,15,None,TOTAL,TOTAL,0.4399999999999977,5,0.38999999999999774
UCO,RENKO_CON_SA,25,10,2,TOTAL,TOTAL,0.4200000000000159,2,0.4000000000000159
UCO,RENKO_CAV,15,10,None,TOTAL,TOTAL,0.6300000000000239,15,0.48000000000002385
UCO,RENKO_CON_SA,20,10,5,TOTAL,TOTAL,0.5799999999999841,8,0.49999999999998407
UCO,BBMR_MAS,25,25,None,TOTAL,TOTAL,0.5499999999999972,5,0.49999999999999717
UCO,RENKO_CON_SA,25,9,2,TOTAL,TOTAL,0.5900000000000176,3,0.5600000000000176
UCO,RENKO_SA,20,5,None,TOTAL,TOTAL,0.8299999999999841,23,0.5999999999999841
UCO,RENKO_CON_SA,25,10,3,TOTAL,TOTAL,0.6500000000000057,2,0.6300000000000057
UCO,RENKO_CAV,20,10,None,TOTAL,TOTAL,0.75,8,0.67
UCO,RENKO_CON_VS,15,9,2,TOTAL,TOTAL,0.8900000000000148,19,0.7000000000000148
UCO,RENKO_BAH,20,None,None,TOTAL,TOTAL,0.8299999999999983,11,0.7199999999999983
UCO,PAT_SMAG_LNB,35,45,None,TOTAL,TOTAL,0.769999999999996,1,0.759999999999996
UCO,RENKO_CON_VS,20,10,2,TOTAL,TOTAL,0.8700000000000045,8,0.7900000000000046
UCO,RENKO_CON_SA,25,9,3,TOTAL,TOTAL,0.8200000000000074,3,0.7900000000000074
UCO,BBMR_MAS,20,15,None,TOTAL,TOTAL,1.0599999999999739,13,0.9299999999999738
UCO,RENKO_CON_VS,20,9,2,TOTAL,TOTAL,1.2300000000000182,11,1.120000000000018
UCO,RENKO_CON_SA,25,10,4,TOTAL,TOTAL,1.1700000000000017,2,1.1500000000000017
UCO,RENKO_VBS,20,2,2,TOTAL,TOTAL,1.4099999999999966,16,1.2499999999999967
UCO,RENKO_CON_SA,25,9,4,TOTAL,TOTAL,1.3400000000000034,3,1.3100000000000034
UCO,RENKO_CON_SA,25,10,5,TOTAL,TOTAL,1.3700000000000045,2,1.3500000000000045
UCO,RENKO_CON_VS,15,9,1,TOTAL,TOTAL,1.5699999999999932,20,1.3699999999999932
UCO,RENKO_CON_VS,15,9,3,TOTAL,TOTAL,1.5400000000000063,16,1.3800000000000063
UCO,RENKO_CAV,20,9,None,TOTAL,TOTAL,1.5100000000000051,11,1.400000000000005
UCO,RENKO_CON_VS,20,10,1,TOTAL,TOTAL,1.5499999999999972,8,1.469999999999997
UCO,RENKO_CAV,25,10,None,TOTAL,TOTAL,1.5400000000000063,2,1.5200000000000062
UCO,RENKO_CON_VS,25,10,1,TOTAL,TOTAL,1.5400000000000063,2,1.5200000000000062
UCO,RENKO_CON_VS,25,10,2,TOTAL,TOTAL,1.5400000000000063,2,1.5200000000000062
UCO,RENKO_CON_VS,25,10,3,TOTAL,TOTAL,1.5400000000000063,2,1.5200000000000062
UCO,RENKO_CON_VS,20,9,1,TOTAL,TOTAL,1.9000000000000057,11,1.7900000000000056
UCO,RENKO_CON_SA,25,9,5,TOTAL,TOTAL,1.8400000000000034,3,1.8100000000000034
UCO,RENKO_VBS,20,1,2,TOTAL,TOTAL,2.1299999999999955,20,1.9299999999999955
UCO,RENKO_CAV,15,9,None,TOTAL,TOTAL,2.1200000000000188,18,1.9400000000000188
UCO,RENKO_VBS,20,1,1,TOTAL,TOTAL,2.3599999999999994,24,2.119999999999999
UCO,RENKO_CAV,25,9,None,TOTAL,TOTAL,2.8100000000000165,3,2.7800000000000167
UCO,RENKO_CON_VS,25,9,1,TOTAL,TOTAL,2.8100000000000165,3,2.7800000000000167
UCO,RENKO_CON_VS,25,9,2,TOTAL,TOTAL,2.8100000000000165,3,2.7800000000000167
UCO,RENKO_CON_VS,25,9,3,TOTAL,TOTAL,2.8100000000000165,3,2.7800000000000167
