ticker,stratName,aggregation,param1,param2,datafile,day,profit,trades,ProfitPerTrade
SPXL,RENKO_SA,20,3,None,TOTAL,TOTAL,0.10000000000000853,10,8.520961713998076e-15
SPXL,BBMR_MAS,20,35,None,TOTAL,TOTAL,0.01999999999999602,1,0.00999999999999602
SPXL,RENKO_SA,5,2,None,TOTAL,TOTAL,1.439999999999884,142,0.01999999999988411
SPXL,RENKO_SA,10,5,None,TOTAL,TOTAL,0.5,48,0.020000000000000018
SPXL,RENKO_CON_VS,5,10,2,TOTAL,TOTAL,0.739999999999938,70,0.039999999999937974
SPXL,CPAT_SMAG_LNB,15,45,None,TOTAL,TOTAL,0.34000000000004604,30,0.040000000000046054
SPXL,CPAT_SMAG_LNB,15,25,None,TOTAL,TOTAL,0.46999999999999886,42,0.04999999999999888
SPXL,CPAT,20,None,None,TOTAL,TOTAL,0.6299999999999528,56,0.06999999999995277
SPXL,BBMR_MAS,10,25,None,TOTAL,TOTAL,0.37999999999998124,31,0.06999999999998124
SPXL,CPAT_SMAG_LNB,20,40,None,TOTAL,TOTAL,0.20999999999996533,11,0.09999999999996532
SPXL,BBR_V32W,25,None,None,TOTAL,TOTAL,0.12000000000000455,1,0.11000000000000455
SPXL,CPAT_SMAG_LNB,15,35,None,TOTAL,TOTAL,0.4800000000000182,37,0.1100000000000182
SPXL,RENKO_CON_SA,15,10,3,TOTAL,TOTAL,0.1799999999999926,6,0.11999999999999261
SPXL,PAT_SMAG_LNB,20,40,None,TOTAL,TOTAL,0.21999999999997044,9,0.12999999999997044
SPXL,RENKO_CON_VS,15,10,1,TOTAL,TOTAL,0.20000000000000284,6,0.14000000000000284
SPXL,RENKO_CON_SA,20,9,2,TOTAL,TOTAL,0.18999999999999773,1,0.17999999999999772
SPXL,RENKO_CON_SA,20,10,2,TOTAL,TOTAL,0.18999999999999773,1,0.17999999999999772
SPXL,CPAT_SMAG_LNB,20,45,None,TOTAL,TOTAL,0.2699999999999676,8,0.18999999999996758
SPXL,RENKO_BAH,5,None,None,TOTAL,TOTAL,0.8799999999999955,67,0.2099999999999954
SPXL,BBMR_MAS,15,35,None,TOTAL,TOTAL,0.2600000000000051,5,0.21000000000000513
SPXL,RENKO_SA,10,2,None,TOTAL,TOTAL,0.6900000000000119,48,0.21000000000001195
SPXL,RENKO_CON_VS,15,10,2,TOTAL,TOTAL,0.28999999999999204,5,0.23999999999999205
SPXL,RENKO_CON_SA,15,9,3,TOTAL,TOTAL,0.3199999999999932,7,0.24999999999999317
SPXL,RENKO_SA,5,5,None,TOTAL,TOTAL,1.7199999999998141,142,0.2999999999998142
