ticker,stratName,aggregation,param1,param2,datafile,day,profit,trades,ProfitPerTrade
VDE,RENKO_BAH,10,None,None,TOTAL,TOTAL,0.12999999999998124,12,0.009999999999981246
VDE,BBMR_MAS,15,30,None,TOTAL,TOTAL,0.10999999999999943,5,0.05999999999999943
VDE,PAT_SMAG_LNB,25,25,None,TOTAL,TOTAL,0.12000000000000455,5,0.07000000000000454
VDE,RENKO_CON_SA,5,9,5,TOTAL,TOTAL,0.699999999999946,61,0.08999999999994601
VDE,RENKO_SA,20,2,None,TOTAL,TOTAL,0.1799999999999784,8,0.0999999999999784
VDE,RENKO_SA,25,2,None,TOTAL,TOTAL,0.14999999999999147,5,0.09999999999999147
VDE,RENKO_CAV,5,10,None,TOTAL,TOTAL,0.5300000000000011,43,0.10000000000000114
VDE,CPAT_SMAG_LNB,25,25,None,TOTAL,TOTAL,0.1500000000000199,5,0.10000000000001989
VDE,RENKO_CON_VS,5,10,1,TOTAL,TOTAL,0.6899999999999835,57,0.11999999999998345
VDE,BBR_V32W,15,None,None,TOTAL,TOTAL,0.14999999999999147,3,0.11999999999999147
VDE,PAT_SMAG_LNB,20,40,None,TOTAL,TOTAL,0.1799999999999926,3,0.1499999999999926
VDE,CPAT_SMAG_LNB,15,35,None,TOTAL,TOTAL,0.3699999999999619,20,0.1699999999999619
VDE,RENKO_CON_SA,15,9,2,TOTAL,TOTAL,0.23999999999998067,7,0.16999999999998067
VDE,RENKO_SA,20,3,None,TOTAL,TOTAL,0.28999999999997783,8,0.20999999999997782
VDE,RENKO_CON_SA,10,9,5,TOTAL,TOTAL,0.3900000000000148,17,0.22000000000001477
VDE,RENKO_CON_SA,25,9,2,TOTAL,TOTAL,0.23999999999999488,1,0.22999999999999488
VDE,RENKO_CON_SA,25,9,3,TOTAL,TOTAL,0.23999999999999488,1,0.22999999999999488
VDE,CPAT,30,None,None,TOTAL,TOTAL,0.4000000000000057,16,0.24000000000000568
VDE,PAT_SMAG_LNB,10,45,None,TOTAL,TOTAL,0.6499999999999915,39,0.25999999999999146
VDE,RENKO_SA,10,5,None,TOTAL,TOTAL,0.569999999999979,28,0.28999999999997894
VDE,RENKO_CON_SA,15,9,3,TOTAL,TOTAL,0.37999999999998124,7,0.30999999999998124
VDE,CPAT_SMAG_LNB,15,40,None,TOTAL,TOTAL,0.5,19,0.31
VDE,CPAT_SMAG_LNB,20,35,None,TOTAL,TOTAL,0.37999999999998124,5,0.32999999999998125
VDE,CPAT_SMAG_LNB,15,25,None,TOTAL,TOTAL,0.5900000000000034,26,0.3300000000000034
VDE,RENKO_CON_SA,15,10,2,TOTAL,TOTAL,0.4199999999999875,8,0.3399999999999875
VDE,BBMR_MAS,5,35,None,TOTAL,TOTAL,0.8799999999999528,53,0.3499999999999528
VDE,RENKO_VBS,15,2,2,TOTAL,TOTAL,0.4399999999999835,9,0.34999999999998355
VDE,RENKO_VBS,25,2,2,TOTAL,TOTAL,0.39999999999997726,4,0.3599999999999773
VDE,PAT_SMAG_LNB,15,35,None,TOTAL,TOTAL,0.5599999999999596,16,0.3999999999999596
VDE,PAT_SMAG_LNB,15,25,None,TOTAL,TOTAL,0.6299999999999812,23,0.39999999999998126
VDE,BBR_V32W,5,None,None,TOTAL,TOTAL,0.7999999999999972,40,0.39999999999999714
VDE,BBMR_MAS,10,15,None,TOTAL,TOTAL,0.6500000000000199,24,0.4100000000000199
VDE,PAT_SMAG_LNB,15,40,None,TOTAL,TOTAL,0.5799999999999699,16,0.41999999999996984
VDE,RENKO_BAH,20,None,None,TOTAL,TOTAL,0.45999999999997954,4,0.41999999999997956
VDE,CPAT_SMAG_LNB,15,45,None,TOTAL,TOTAL,0.6199999999999903,17,0.4499999999999903
VDE,RENKO_CON_SA,15,10,3,TOTAL,TOTAL,0.5599999999999881,8,0.47999999999998805
VDE,RENKO_CON_SA,25,9,4,TOTAL,TOTAL,0.4899999999999949,1,0.4799999999999949
VDE,CPAT_SMAG_LNB,20,25,None,TOTAL,TOTAL,0.6199999999999761,12,0.49999999999997613
VDE,RENKO_CON_VS,5,9,1,TOTAL,TOTAL,1.1299999999999528,61,0.5199999999999528
VDE,RENKO_SA,15,4,None,TOTAL,TOTAL,0.6700000000000159,15,0.5200000000000159
VDE,BBMR_MAS,10,30,None,TOTAL,TOTAL,0.7100000000000222,17,0.5400000000000221
VDE,RENKO_SA,10,2,None,TOTAL,TOTAL,0.8299999999999415,28,0.5499999999999414
VDE,RENKO_CON_VS,5,9,2,TOTAL,TOTAL,1.0299999999999585,46,0.5699999999999585
VDE,RENKO_CAV,25,9,None,TOTAL,TOTAL,0.5899999999999892,1,0.5799999999999892
VDE,RENKO_CON_VS,25,9,1,TOTAL,TOTAL,0.5899999999999892,1,0.5799999999999892
VDE,RENKO_CON_VS,25,9,2,TOTAL,TOTAL,0.5899999999999892,1,0.5799999999999892
VDE,RENKO_CON_VS,25,9,3,TOTAL,TOTAL,0.5899999999999892,1,0.5799999999999892
VDE,RENKO_SA,20,5,None,TOTAL,TOTAL,0.6699999999999733,8,0.5899999999999733
VDE,RENKO_SA,15,5,None,TOTAL,TOTAL,0.7599999999999909,15,0.6099999999999909
VDE,RENKO_CON_SA,20,9,3,TOTAL,TOTAL,0.6799999999999926,4,0.6399999999999926
VDE,RENKO_CON_SA,20,10,3,TOTAL,TOTAL,0.6799999999999926,4,0.6399999999999926
VDE,RENKO_CAV,5,9,None,TOTAL,TOTAL,1.1299999999999812,48,0.6499999999999813
VDE,PAT,15,None,None,TOTAL,TOTAL,1.0699999999999363,41,0.6599999999999363
VDE,RENKO_CON_VS,10,9,2,TOTAL,TOTAL,0.8099999999999739,14,0.6699999999999738
VDE,RENKO_CON_VS,10,9,3,TOTAL,TOTAL,0.8399999999999608,12,0.7199999999999608
VDE,RENKO_CON_SA,20,9,2,TOTAL,TOTAL,0.7599999999999909,4,0.7199999999999909
VDE,RENKO_CON_SA,20,10,2,TOTAL,TOTAL,0.7599999999999909,4,0.7199999999999909
VDE,PAT_SMAG_LNB,15,45,None,TOTAL,TOTAL,0.8699999999999619,14,0.7299999999999619
VDE,RENKO_SA,25,3,None,TOTAL,TOTAL,0.7799999999999869,5,0.7299999999999869
VDE,RENKO_CON_SA,25,9,5,TOTAL,TOTAL,0.7399999999999949,1,0.7299999999999949
VDE,RENKO_VBS,15,1,1,TOTAL,TOTAL,0.8799999999999955,15,0.7299999999999954
VDE,RENKO_CON_VS,10,9,1,TOTAL,TOTAL,0.9099999999999824,17,0.7399999999999823
VDE,PAT_SMAG_LNB,20,35,None,TOTAL,TOTAL,0.7899999999999778,3,0.7599999999999778
VDE,RENKO_CON_VS,5,10,3,TOTAL,TOTAL,1.069999999999979,31,0.7599999999999789
VDE,RENKO_CON_SA,15,9,4,TOTAL,TOTAL,0.8299999999999983,7,0.7599999999999982
VDE,RENKO_VBS,20,1,1,TOTAL,TOTAL,0.8699999999999619,8,0.789999999999962
VDE,RENKO_VBS,10,1,1,TOTAL,TOTAL,1.0899999999999466,28,0.8099999999999465
VDE,RENKO_SA,20,4,None,TOTAL,TOTAL,0.8899999999999864,8,0.8099999999999864
